video_type,file_name,cur_frame,prev_frame,cur_ts,prev_ts,scene_change,dhash8_dif,dhash16_dif,dhash32_dif,ahash8_dif,ahash16_dif,ahash32_dif,phash8_dif,phash16_dif,phash32_dif,whash8_dif,whash16_dif,whash32_dif,colorhash3_dif,colorhash8_dif,color_shot
nomicro_fast_ad,10 Famous Funny Commercials2__EXP,12713,12712,00:07:04:05,00:07:04:04,False,17,51,224,8,53,194,6,34,176,14,54,224,2,6,False
nomicro_fast_ad,10 Famous Funny Commercials2__EXP,16383,16382,00:09:06:19,00:09:06:18,False,26,80,317,12,40,178,26,112,434,16,62,232,0,2,False
nomicro_explosions,2012 (2009) - The Sinking of Los Angeles Scene (310)__EXP,286,285,00:00:11:22,00:00:11:21,False,17,74,227,37,134,538,24,84,236,20,66,298,5,25,False
nomicro_explosions,2012 (2009) - The Sinking of Los Angeles Scene (310)__EXP,287,286,00:00:11:23,00:00:11:22,False,21,77,265,35,132,514,24,94,206,12,62,238,5,15,False
nomicro_fast_ad,3 Funny Thai Advertisements - YouTube,540,539,00:00:22:12,00:00:22:11,False,17,81,389,7,12,69,12,110,482,8,40,170,4,17,False
nomicro_fast_ad,3 Funny Thai Advertisements - YouTube,1861,1860,00:01:17:13,00:01:17:12,False,14,67,287,26,98,345,16,78,420,31,123,463,1,2,False
nomicro_fast_ad,3 Funny Thai Advertisements - YouTube,1862,1861,00:01:17:14,00:01:17:13,False,19,65,254,15,55,220,14,70,366,10,42,166,1,0,False
nomicro_fast_ad,3 Funny Thai Advertisements - YouTube,1864,1863,00:01:17:16,00:01:17:15,False,16,49,250,22,81,319,16,72,418,24,102,351,0,1,False
nomicro_fast_ad,3 Funny Thai Advertisements - YouTube,1868,1867,00:01:17:20,00:01:17:19,False,15,44,202,22,94,381,14,82,446,20,64,286,3,2,False
nomicro_fast_ad,3 Funny Thai Advertisements - YouTube,1872,1871,00:01:18:00,00:01:17:23,False,19,69,261,6,24,98,18,96,460,16,64,244,0,2,False
nomicro_sport,600 foot Insane Rope Swing over SHIPWRECK!!! - in Greece in ,71,70,00:00:02:23,00:00:02:22,False,27,85,237,23,87,330,32,124,526,29,122,482,0,0,False
nomicro_sport,600 foot Insane Rope Swing over SHIPWRECK!!! - in Greece in ,72,71,00:00:03:00,00:00:02:23,False,23,55,159,22,84,332,32,128,514,33,131,577,0,0,False
nomicro_sport,600 foot Insane Rope Swing over SHIPWRECK!!! - in Greece in ,3373,3372,00:02:20:16,00:02:20:15,False,19,138,612,13,64,298,22,136,558,22,70,322,1,6,False
nomicro_sport,600 foot Insane Rope Swing over SHIPWRECK!!! - in Greece in ,3375,3374,00:02:20:18,00:02:20:17,False,28,149,606,11,55,269,22,136,558,12,76,324,0,7,False
nomicro_fight,Avengers Assemble in Final Fight Scene - AVENGERS 4 ENDGAME ,2092,2091,00:01:23:17,00:01:23:16,False,26,77,290,17,69,277,18,80,346,20,68,262,1,5,False
nomicro_fight,Avengers Assemble in Final Fight Scene - AVENGERS 4 ENDGAME ,2093,2092,00:01:23:18,00:01:23:17,False,23,82,284,16,74,267,18,84,372,16,68,248,1,6,False
nomicro_fight,Avengers Assemble in Final Fight Scene - AVENGERS 4 ENDGAME ,2104,2103,00:01:24:04,00:01:24:03,False,29,113,347,26,97,343,26,100,402,20,84,342,2,8,False
nomicro_fight,Avengers Assemble in Final Fight Scene - AVENGERS 4 ENDGAME ,2107,2106,00:01:24:07,00:01:24:06,False,31,95,367,26,92,333,26,110,412,20,80,318,2,7,False
nomicro_fight,Avengers Assemble in Final Fight Scene - AVENGERS 4 ENDGAME ,2246,2245,00:01:29:21,00:01:29:20,False,19,67,246,18,69,281,18,64,326,20,72,278,7,19,False
nomicro_fight,Avengers Assemble in Final Fight Scene - AVENGERS 4 ENDGAME ,2247,2246,00:01:29:22,00:01:29:21,False,25,78,277,15,49,191,24,88,384,14,50,200,3,11,False
nomicro_fight,Avengers Assemble in Final Fight Scene - AVENGERS 4 ENDGAME ,2248,2247,00:01:29:23,00:01:29:22,False,20,63,252,11,40,194,30,100,386,14,54,202,6,14,False
nomicro_fight,Avengers Assemble in Final Fight Scene - AVENGERS 4 ENDGAME ,2354,2353,00:01:34:04,00:01:34:03,False,14,50,170,18,93,349,24,96,382,36,144,565,0,0,False
nomicro_fight,Avengers Assemble in Final Fight Scene - AVENGERS 4 ENDGAME ,2630,2629,00:01:45:05,00:01:45:04,False,15,49,252,6,26,108,16,110,486,4,14,64,2,9,False
nomicro_fight,Avengers Assemble in Final Fight Scene - AVENGERS 4 ENDGAME ,2700,2699,00:01:48:00,00:01:47:24,False,13,44,201,9,42,153,20,128,530,4,18,74,2,9,False
nomicro_fight,Avengers Assemble in Final Fight Scene - AVENGERS 4 ENDGAME ,2701,2700,00:01:48:01,00:01:48:00,False,14,36,214,5,19,85,16,90,428,6,10,48,3,6,False
nomicro_fight,Avengers Assemble in Final Fight Scene - AVENGERS 4 ENDGAME ,3137,3136,00:02:05:12,00:02:05:11,False,13,43,140,25,102,416,14,44,242,30,128,493,0,0,False
nomicro_fight,Avengers Assemble in Final Fight Scene - AVENGERS 4 ENDGAME ,3404,3403,00:02:16:04,00:02:16:03,False,19,66,282,11,46,199,22,78,390,12,56,214,1,2,False
nomicro_fight,Avengers Assemble in Final Fight Scene - AVENGERS 4 ENDGAME ,3645,3644,00:02:25:20,00:02:25:19,False,19,77,275,11,43,162,24,70,398,12,48,208,1,3,False
nomicro_fight,Avengers Assemble in Final Fight Scene - AVENGERS 4 ENDGAME ,3646,3645,00:02:25:21,00:02:25:20,False,24,83,288,13,54,197,12,62,312,18,68,272,1,3,False
nomicro_fight,Avengers Assemble in Final Fight Scene - AVENGERS 4 ENDGAME ,3661,3660,00:02:26:11,00:02:26:10,False,20,62,215,36,148,591,18,100,380,34,140,560,3,13,False
nomicro_fight,Avengers Assemble in Final Fight Scene - AVENGERS 4 ENDGAME ,3662,3661,00:02:26:12,00:02:26:11,False,20,77,285,26,108,439,30,112,406,34,140,557,0,2,False
nomicro_fight,Batman kidnaps Lau from Hong Kong__EXP,1450,1449,00:01:00:11,00:01:00:10,False,33,155,542,16,70,280,20,118,498,16,86,344,0,2,False
nomicro_fight,Batman kidnaps Lau from Hong Kong__EXP,2520,2519,00:01:45:02,00:01:45:01,False,26,120,479,32,126,497,36,132,558,32,146,570,1,6,False
nomicro_fight,Batman kidnaps Lau from Hong Kong__EXP,3719,3718,00:02:35:02,00:02:35:01,False,25,88,303,12,48,203,22,110,476,12,64,248,2,13,False
nomicro_fight,Batman kidnaps Lau from Hong Kong__EXP,4793,4792,00:03:19:21,00:03:19:20,False,19,79,304,19,44,204,26,82,336,14,50,174,9,29,False
nomicro_sport,Behind the scenes of the world's fastest__EXP,4990,4989,00:03:28:02,00:03:28:01,False,28,127,477,21,78,319,26,130,520,22,86,358,5,15,False
nomicro_sport,Behind the scenes of the world's fastest__EXP,4994,4993,00:03:28:06,00:03:28:05,False,25,121,461,10,50,181,16,108,486,14,58,288,1,5,False
nomicro_sport,Behind the scenes of the world's fastest__EXP,5751,5750,00:03:59:20,00:03:59:19,False,13,64,282,11,49,219,16,92,390,12,48,212,3,4,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,522,521,00:00:17:12,00:00:17:11,False,16,58,289,14,44,163,14,104,504,2,26,112,1,12,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,525,524,00:00:17:15,00:00:17:14,False,20,82,361,9,46,213,28,110,498,8,40,176,4,17,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,591,590,00:00:19:21,00:00:19:20,False,24,103,391,28,95,363,30,114,514,28,90,331,2,7,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,596,595,00:00:19:26,00:00:19:25,False,30,134,507,30,111,430,28,124,512,32,122,468,2,8,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,2969,2968,00:01:38:29,00:01:38:28,False,14,76,370,22,76,311,26,102,394,20,76,346,4,13,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,3158,3157,00:01:45:08,00:01:45:07,False,22,103,383,28,85,329,32,132,496,32,112,441,2,2,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,3159,3158,00:01:45:09,00:01:45:08,False,32,105,351,35,127,499,34,136,488,38,148,533,2,3,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,3160,3159,00:01:45:10,00:01:45:09,False,39,129,443,41,153,629,34,132,486,36,152,616,3,9,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,3161,3160,00:01:45:11,00:01:45:10,False,43,163,550,42,156,615,40,138,522,38,144,572,6,12,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,3162,3161,00:01:45:12,00:01:45:11,False,40,138,484,36,146,550,32,126,486,34,132,489,0,6,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,3176,3175,00:01:45:26,00:01:45:25,False,32,114,439,30,103,407,34,126,516,34,120,437,8,20,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,3179,3178,00:01:45:29,00:01:45:28,False,45,140,513,28,111,450,34,118,514,30,122,434,0,8,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,4023,4022,00:02:14:03,00:02:14:02,False,25,93,300,15,58,224,32,122,516,8,34,147,2,10,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,4095,4094,00:02:16:15,00:02:16:14,False,24,86,339,16,61,235,14,110,480,14,60,265,5,12,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,4431,4430,00:02:27:21,00:02:27:20,False,24,81,328,7,28,125,20,98,386,4,24,116,0,6,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,4432,4431,00:02:27:22,00:02:27:21,False,19,81,347,7,26,109,20,86,516,8,26,94,2,8,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,4433,4432,00:02:27:23,00:02:27:22,False,18,96,327,5,25,109,16,90,456,4,24,106,7,12,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,4506,4505,00:02:30:06,00:02:30:05,False,26,109,372,11,46,191,24,124,512,14,54,228,1,8,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,6262,6261,00:03:28:22,00:03:28:21,False,23,80,355,22,63,257,18,98,388,14,52,216,0,11,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,6422,6421,00:03:34:02,00:03:34:01,False,19,65,312,18,76,304,26,94,392,16,62,250,2,9,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,6423,6422,00:03:34:03,00:03:34:02,False,22,92,366,16,73,283,30,124,442,18,74,294,2,9,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,7364,7363,00:04:05:14,00:04:05:13,False,19,73,331,13,38,159,14,84,452,6,28,117,0,3,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,7782,7781,00:04:19:12,00:04:19:11,False,22,79,344,12,38,182,14,74,394,10,48,208,0,5,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,7784,7783,00:04:19:14,00:04:19:13,False,23,78,344,15,47,201,16,90,444,16,48,174,2,9,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,9626,9625,00:05:20:26,00:05:20:25,False,18,75,339,12,31,164,16,110,486,10,36,166,1,2,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,9627,9626,00:05:20:27,00:05:20:26,False,16,70,284,9,34,176,14,104,406,12,34,160,0,1,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,9821,9820,00:05:27:11,00:05:27:10,False,16,96,392,20,74,293,24,136,508,8,52,194,1,5,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,9822,9821,00:05:27:12,00:05:27:11,False,15,56,304,13,48,197,10,128,502,4,38,154,1,1,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,10143,10142,00:05:38:03,00:05:38:02,False,26,110,444,19,71,284,26,122,536,16,68,274,2,6,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,10145,10144,00:05:38:05,00:05:38:04,False,24,101,405,17,65,257,22,104,454,16,58,230,0,3,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,10286,10285,00:05:42:26,00:05:42:25,False,18,83,381,13,47,186,30,126,588,8,32,138,1,8,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,10290,10289,00:05:43:00,00:05:42:29,False,20,120,400,11,45,191,14,108,492,6,44,192,0,3,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,10295,10294,00:05:43:05,00:05:43:04,False,16,81,352,15,46,202,28,134,512,12,46,180,0,5,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,10297,10296,00:05:43:07,00:05:43:06,False,14,76,350,11,53,170,34,124,504,10,38,165,2,6,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,10345,10344,00:05:44:25,00:05:44:24,False,22,69,315,10,42,187,18,92,464,12,50,212,0,5,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,10350,10349,00:05:45:00,00:05:44:29,False,23,63,266,8,39,176,24,134,508,6,26,104,0,3,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,10351,10350,00:05:45:01,00:05:45:00,False,20,69,259,11,51,223,26,134,490,12,26,110,1,6,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,10352,10351,00:05:45:02,00:05:45:01,False,23,60,235,7,31,137,30,138,430,4,10,50,0,1,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,10387,10386,00:05:46:07,00:05:46:06,False,19,92,351,8,45,157,30,126,490,10,44,166,0,5,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,10388,10387,00:05:46:08,00:05:46:07,False,19,92,332,10,28,116,26,114,514,8,32,122,2,7,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,10392,10391,00:05:46:12,00:05:46:11,False,21,97,364,17,70,275,28,110,476,18,68,272,2,4,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,11570,11569,00:06:25:20,00:06:25:19,False,16,61,329,14,54,227,24,86,388,14,60,236,0,3,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,11571,11570,00:06:25:21,00:06:25:20,False,17,62,311,11,38,162,20,54,252,14,38,154,0,2,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,11576,11575,00:06:25:26,00:06:25:25,False,21,91,366,16,60,244,22,112,442,12,60,228,0,2,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,11577,11576,00:06:25:27,00:06:25:26,False,21,100,358,14,59,215,28,98,470,14,56,204,0,4,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,11831,11830,00:06:34:11,00:06:34:10,False,21,108,395,22,79,296,22,126,468,18,70,274,1,4,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,11832,11831,00:06:34:12,00:06:34:11,False,20,92,374,13,52,220,22,118,472,14,54,211,1,6,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,14000,13999,00:07:46:20,00:07:46:19,False,18,94,450,24,87,354,22,110,476,28,86,346,0,3,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,14003,14002,00:07:46:23,00:07:46:22,False,26,90,402,21,86,308,22,98,474,20,84,316,2,8,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,15547,15546,00:08:38:07,00:08:38:06,False,19,75,335,13,54,236,30,102,418,12,50,200,0,3,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,15549,15548,00:08:38:09,00:08:38:08,False,15,63,311,9,44,173,18,100,404,10,40,162,2,4,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,16258,16257,00:09:01:28,00:09:01:27,False,22,78,391,13,52,229,22,116,480,16,54,228,0,4,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,16407,16406,00:09:06:27,00:09:06:26,False,15,63,342,13,41,173,12,74,408,10,44,200,2,8,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,16552,16551,00:09:11:22,00:09:11:21,False,21,76,333,14,51,216,18,94,414,12,54,222,1,2,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,18678,18677,00:10:22:18,00:10:22:17,False,31,90,373,9,40,199,26,120,490,10,38,188,1,6,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,18679,18678,00:10:22:19,00:10:22:18,False,30,88,337,10,53,209,28,114,480,8,50,196,0,6,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,19136,19135,00:10:37:26,00:10:37:25,False,16,69,342,11,41,171,30,118,514,8,48,172,3,8,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,19141,19140,00:10:38:01,00:10:38:00,False,21,90,355,11,43,181,12,84,424,8,44,172,1,5,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,19573,19572,00:10:52:13,00:10:52:12,False,12,52,235,5,9,72,16,108,508,6,34,126,0,3,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,19832,19831,00:11:01:02,00:11:01:01,False,26,120,458,20,79,335,30,128,482,18,78,314,0,4,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,20542,20541,00:11:24:22,00:11:24:21,False,31,113,447,22,74,336,28,124,506,20,88,348,0,5,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,20543,20542,00:11:24:23,00:11:24:22,False,26,104,408,16,72,278,28,126,494,16,70,274,0,2,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,20736,20735,00:11:31:06,00:11:31:05,False,19,82,314,14,51,222,26,110,492,16,56,222,1,3,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,20737,20736,00:11:31:07,00:11:31:06,False,39,90,401,11,48,192,26,128,498,10,40,170,3,9,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,20738,20737,00:11:31:08,00:11:31:07,False,35,96,350,11,42,188,24,98,458,10,38,152,0,3,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,20785,20784,00:11:32:25,00:11:32:24,False,17,64,337,10,22,127,14,72,456,6,28,126,0,6,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,20790,20789,00:11:33:00,00:11:32:29,False,24,73,369,10,40,160,20,90,476,10,50,238,0,6,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,20796,20795,00:11:33:06,00:11:33:05,False,35,105,391,10,34,143,26,122,520,14,54,216,0,3,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,21727,21726,00:12:04:07,00:12:04:06,False,22,62,221,9,32,129,18,116,416,10,40,152,2,6,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,22124,22123,00:12:17:14,00:12:17:13,False,38,103,378,14,66,248,34,120,460,16,72,274,0,3,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,22223,22222,00:12:20:23,00:12:20:22,False,26,91,380,11,33,157,22,126,480,12,52,218,6,17,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,22225,22224,00:12:20:25,00:12:20:24,False,18,85,386,15,54,194,30,122,472,18,66,298,4,14,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,22226,22225,00:12:20:26,00:12:20:25,False,15,72,400,8,43,189,18,116,510,14,56,230,6,20,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,22227,22226,00:12:20:27,00:12:20:26,False,14,76,356,6,20,96,16,86,460,6,30,154,4,11,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,23064,23063,00:12:48:24,00:12:48:23,False,19,69,308,6,14,64,22,102,436,8,42,156,0,0,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,23065,23064,00:12:48:25,00:12:48:24,False,15,81,312,3,21,72,24,104,476,4,30,118,0,0,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,23198,23197,00:12:53:08,00:12:53:07,False,14,53,236,11,41,173,14,86,368,14,44,188,1,7,False
nomicro_fight,Best Modern 1v1 Hand-to-Hand Fight Scenes__EXP,23199,23198,00:12:53:09,00:12:53:08,False,20,71,279,10,34,146,22,94,366,10,48,176,2,7,False
nomicro_nature,Best Wild Animal Chases Top 5 BBC Earth - YouTube,2281,2280,00:01:31:06,00:01:31:05,False,32,140,552,26,97,428,32,134,524,24,100,426,0,2,False
nomicro_nature,Best Wild Animal Chases Top 5 BBC Earth - YouTube,2283,2282,00:01:31:08,00:01:31:07,False,29,123,503,26,93,406,32,118,486,28,110,446,0,2,False
nomicro_nature,Best Wild Animal Chases Top 5 BBC Earth - YouTube,2471,2470,00:01:38:21,00:01:38:20,False,37,118,487,26,91,388,32,112,346,30,114,448,0,7,False
nomicro_nature,Best Wild Animal Chases Top 5 BBC Earth - YouTube,2473,2472,00:01:38:23,00:01:38:22,False,35,122,508,30,123,470,26,118,424,30,116,484,0,9,False
nomicro_nature,Best Wild Animal Chases Top 5 BBC Earth - YouTube,2474,2473,00:01:38:24,00:01:38:23,False,30,129,497,31,130,466,32,112,376,28,124,468,0,10,False
nomicro_nature,Best Wild Animal Chases Top 5 BBC Earth - YouTube,2594,2593,00:01:43:19,00:01:43:18,False,28,139,500,33,130,485,34,136,524,32,128,526,5,19,False
nomicro_nature,Best Wild Animal Chases Top 5 BBC Earth - YouTube,2597,2596,00:01:43:22,00:01:43:21,False,34,132,512,34,133,535,26,108,484,34,142,562,0,4,False
nomicro_nature,Best Wild Animal Chases Top 5 BBC Earth - YouTube,2602,2601,00:01:44:02,00:01:44:01,False,26,119,476,35,145,581,34,128,440,32,122,478,0,0,False
nomicro_nature,Best Wild Animal Chases Top 5 BBC Earth - YouTube,2605,2604,00:01:44:05,00:01:44:04,False,33,126,506,26,90,403,24,120,440,24,96,372,0,0,False
nomicro_nature,Best Wild Animal Chases Top 5 BBC Earth - YouTube,2607,2606,00:01:44:07,00:01:44:06,False,32,129,495,31,111,474,30,110,438,32,114,462,0,0,False
nomicro_fast_ad,Can't Fake Fast__EXP,547,546,00:00:21:22,00:00:21:21,False,27,114,491,31,132,530,24,104,464,32,130,526,0,0,False
nomicro_fast_ad,Can't Fake Fast__EXP,1836,1835,00:01:13:11,00:01:13:10,False,23,86,344,24,82,355,36,128,488,26,98,404,0,1,False
nomicro_fast_ad,Can't Fake Fast__EXP,1837,1836,00:01:13:12,00:01:13:11,False,13,64,264,19,77,318,24,114,490,16,58,234,0,1,False
nomicro_fast_ad,Can't Fake Fast__EXP,1921,1920,00:01:16:21,00:01:16:20,False,22,86,402,18,62,267,22,96,498,18,64,248,4,14,False
nomicro_explosions,Daylight - Car Chase Tunnel Explosion Scene (HD) - YouTube-1,4123,4122,00:02:17:13,00:02:17:12,False,23,95,330,16,60,230,22,108,556,22,84,298,0,5,False
nomicro_explosions,Daylight - Car Chase Tunnel Explosion Scene (HD) - YouTube-1,4126,4125,00:02:17:16,00:02:17:15,False,17,49,191,12,40,157,10,62,334,10,34,147,0,3,False
nomicro_explosions,Daylight - Car Chase Tunnel Explosion Scene (HD) - YouTube-1,4395,4394,00:02:26:15,00:02:26:14,False,21,99,356,11,31,163,20,104,372,10,42,206,5,5,False
nomicro_explosions,Daylight - Car Chase Tunnel Explosion Scene (HD) - YouTube-1,4396,4395,00:02:26:16,00:02:26:15,False,16,75,281,8,45,174,12,80,328,12,72,284,2,13,False
